"chamber_id","name","area_id"
144,"Diputación del Distrito Federal 29 de ESTADO DE MÉXICO",142
145,"Diputación del Distrito Federal 3 de AGUASCALIENTES",6
146,"Diputación del Distrito Federal 3 de BAJA CALIFORNIA",11
147,"Diputación del Distrito Federal 3 de CHIAPAS",56
148,"Diputación del Distrito Federal 3 de CHIHUAHUA",25
149,"Diputación del Distrito Federal 3 de CIUDAD DE MÉXICO",97
150,"Diputación del Distrito Federal 3 de COAHUILA DE ZARAGOZA",43
151,"Diputación del Distrito Federal 3 de DURANGO",107
152,"Diputación del Distrito Federal 3 de ESTADO DE MÉXICO",143
153,"Diputación del Distrito Federal 3 de GUANAJUATO",182
154,"Diputación del Distrito Federal 3 de GUERRERO",166
155,"Diputación del Distrito Federal 3 de HIDALGO",192
156,"Diputación del Distrito Federal 3 de JALISCO",211
157,"Diputación del Distrito Federal 3 de MICHOACÁN DE OCAMPO",225
158,"Diputación del Distrito Federal 3 de MORELOS",235
159,"Diputación del Distrito Federal 3 de NAYARIT",242
160,"Diputación del Distrito Federal 3 de NUEVO LEÓN",250
161,"Diputación del Distrito Federal 3 de OAXACA",261
162,"Diputación del Distrito Federal 3 de PUEBLA",277
163,"Diputación del Distrito Federal 3 de QUERÉTARO",293
164,"Diputación del Distrito Federal 3 de QUINTANA ROO",287
165,"Diputación del Distrito Federal 3 de SAN LUIS POTOSÍ",309
166,"Diputación del Distrito Federal 3 de SINALOA",300
167,"Diputación del Distrito Federal 3 de SONORA",318
168,"Diputación del Distrito Federal 3 de TABASCO",326
169,"Diputación del Distrito Federal 3 de TAMAULIPAS",337
170,"Diputación del Distrito Federal 3 de TLAXCALA",333
171,"Diputación del Distrito Federal 3 de VERACRUZ DE IGNACIO DE LA LLAVE",358
172,"Diputación del Distrito Federal 3 de YUCATÁN",368
173,"Diputación del Distrito Federal 3 de ZACATECAS",374
174,"Diputación del Distrito Federal 30 de ESTADO DE MÉXICO",144
175,"Diputación del Distrito Federal 31 de ESTADO DE MÉXICO",145
176,"Diputación del Distrito Federal 32 de ESTADO DE MÉXICO",146
177,"Diputación del Distrito Federal 33 de ESTADO DE MÉXICO",147
178,"Diputación del Distrito Federal 34 de ESTADO DE MÉXICO",148
179,"Diputación del Distrito Federal 35 de ESTADO DE MÉXICO",149
180,"Diputación del Distrito Federal 36 de ESTADO DE MÉXICO",150
181,"Diputación del Distrito Federal 37 de ESTADO DE MÉXICO",151
182,"Diputación del Distrito Federal 38 de ESTADO DE MÉXICO",152
183,"Diputación del Distrito Federal 39 de ESTADO DE MÉXICO",153
184,"Diputación del Distrito Federal 4 de BAJA CALIFORNIA",12
185,"Diputación del Distrito Federal 4 de CHIAPAS",57
186,"Diputación del Distrito Federal 4 de CHIHUAHUA",26
187,"Diputación del Distrito Federal 4 de CIUDAD DE MÉXICO",98
188,"Diputación del Distrito Federal 4 de COAHUILA DE ZARAGOZA",44
189,"Diputación del Distrito Federal 4 de DURANGO",108
190,"Diputación del Distrito Federal 4 de ESTADO DE MÉXICO",154
191,"Diputación del Distrito Federal 4 de GUANAJUATO",183
192,"Diputación del Distrito Federal 4 de GUERRERO",167
193,"Diputación del Distrito Federal 4 de HIDALGO",193
194,"Diputación del Distrito Federal 4 de JALISCO",212
195,"Diputación del Distrito Federal 4 de MICHOACÁN DE OCAMPO",226
196,"Diputación del Distrito Federal 4 de MORELOS",236
197,"Diputación del Distrito Federal 4 de NUEVO LEÓN",251
198,"Diputación del Distrito Federal 4 de OAXACA",262
199,"Diputación del Distrito Federal 4 de PUEBLA",278
200,"Diputación del Distrito Federal 4 de QUERÉTARO",294
201,"Diputación del Distrito Federal 4 de QUINTANA ROO",288
202,"Diputación del Distrito Federal 4 de SAN LUIS POTOSÍ",310
203,"Diputación del Distrito Federal 4 de SINALOA",301
204,"Diputación del Distrito Federal 4 de SONORA",319
205,"Diputación del Distrito Federal 4 de TABASCO",327
206,"Diputación del Distrito Federal 4 de TAMAULIPAS",338
207,"Diputación del Distrito Federal 4 de VERACRUZ DE IGNACIO DE LA LLAVE",359
208,"Diputación del Distrito Federal 4 de YUCATÁN",369
209,"Diputación del Distrito Federal 4 de ZACATECAS",375
210,"Diputación del Distrito Federal 40 de ESTADO DE MÉXICO",155
,"Diputación del Distrito Federal 41 de ESTADO DE MÉXICO",0
212,"Diputación del Distrito Federal 5 de BAJA CALIFORNIA",13
213,"Diputación del Distrito Federal 5 de CHIAPAS",58
214,"Diputación del Distrito Federal 5 de CHIHUAHUA",27
215,"Diputación del Distrito Federal 5 de CIUDAD DE MÉXICO",99
216,"Diputación del Distrito Federal 5 de COAHUILA DE ZARAGOZA",45
217,"Diputación del Distrito Federal 5 de ESTADO DE MÉXICO",157
218,"Diputación del Distrito Federal 5 de GUANAJUATO",184
219,"Diputación del Distrito Federal 5 de GUERRERO",168
220,"Diputación del Distrito Federal 5 de HIDALGO",194
221,"Diputación del Distrito Federal 5 de JALISCO",213
222,"Diputación del Distrito Federal 5 de MICHOACÁN DE OCAMPO",227
223,"Diputación del Distrito Federal 5 de MORELOS",237
224,"Diputación del Distrito Federal 5 de NUEVO LEÓN",252
225,"Diputación del Distrito Federal 5 de OAXACA",263
226,"Diputación del Distrito Federal 5 de PUEBLA",279
227,"Diputación del Distrito Federal 5 de QUERÉTARO",295
228,"Diputación del Distrito Federal 5 de SAN LUIS POTOSÍ",311
229,"Diputación del Distrito Federal 5 de SINALOA",302
230,"Diputación del Distrito Federal 5 de SONORA",320
231,"Diputación del Distrito Federal 5 de TABASCO",328
232,"Diputación del Distrito Federal 5 de TAMAULIPAS",339
233,"Diputación del Distrito Federal 5 de VERACRUZ DE IGNACIO DE LA LLAVE",360
234,"Diputación del Distrito Federal 5 de YUCATÁN",370
235,"Diputación del Distrito Federal 6 de BAJA CALIFORNIA",14
236,"Diputación del Distrito Federal 6 de CHIAPAS",59
237,"Diputación del Distrito Federal 6 de CHIHUAHUA",28
238,"Diputación del Distrito Federal 6 de CIUDAD DE MÉXICO",100
239,"Diputación del Distrito Federal 6 de COAHUILA DE ZARAGOZA",46
240,"Diputación del Distrito Federal 6 de ESTADO DE MÉXICO",158
241,"Diputación del Distrito Federal 6 de GUANAJUATO",185
242,"Diputación del Distrito Federal 6 de GUERRERO",169
243,"Diputación del Distrito Federal 6 de HIDALGO",195
244,"Diputación del Distrito Federal 6 de JALISCO",214
245,"Diputación del Distrito Federal 6 de MICHOACÁN DE OCAMPO",228
246,"Diputación del Distrito Federal 6 de NUEVO LEÓN",253
247,"Diputación del Distrito Federal 6 de OAXACA",264
248,"Diputación del Distrito Federal 6 de PUEBLA",280
249,"Diputación del Distrito Federal 6 de SAN LUIS POTOSÍ",312
250,"Diputación del Distrito Federal 6 de SINALOA",303
251,"Diputación del Distrito Federal 6 de SONORA",321
252,"Diputación del Distrito Federal 6 de TABASCO",329
253,"Diputación del Distrito Federal 6 de TAMAULIPAS",340
254,"Diputación del Distrito Federal 6 de VERACRUZ DE IGNACIO DE LA LLAVE",361
255,"Diputación del Distrito Federal 7 de BAJA CALIFORNIA",15
256,"Diputación del Distrito Federal 7 de CHIAPAS",60
257,"Diputación del Distrito Federal 7 de CHIHUAHUA",29
258,"Diputación del Distrito Federal 7 de CIUDAD DE MÉXICO",101
259,"Diputación del Distrito Federal 7 de COAHUILA DE ZARAGOZA",47
260,"Diputación del Distrito Federal 7 de ESTADO DE MÉXICO",159
261,"Diputación del Distrito Federal 7 de GUANAJUATO",186
262,"Diputación del Distrito Federal 7 de GUERRERO",170
263,"Diputación del Distrito Federal 7 de HIDALGO",196
264,"Diputación del Distrito Federal 7 de JALISCO",215
265,"Diputación del Distrito Federal 7 de MICHOACÁN DE OCAMPO",229
266,"Diputación del Distrito Federal 7 de NUEVO LEÓN",254
267,"Diputación del Distrito Federal 7 de OAXACA",265
268,"Diputación del Distrito Federal 7 de PUEBLA",281
269,"Diputación del Distrito Federal 7 de SAN LUIS POTOSÍ",313
270,"Diputación del Distrito Federal 7 de SINALOA",304
271,"Diputación del Distrito Federal 7 de SONORA",322
272,"Diputación del Distrito Federal 7 de TAMAULIPAS",341
273,"Diputación del Distrito Federal 7 de VERACRUZ DE IGNACIO DE LA LLAVE",362
274,"Diputación del Distrito Federal 8 de BAJA CALIFORNIA",16
275,"Diputación del Distrito Federal 8 de CHIAPAS",61
276,"Diputación del Distrito Federal 8 de CHIHUAHUA",30
277,"Diputación del Distrito Federal 8 de CIUDAD DE MÉXICO",102
278,"Diputación del Distrito Federal 8 de ESTADO DE MÉXICO",160
279,"Diputación del Distrito Federal 8 de GUANAJUATO",187
280,"Diputación del Distrito Federal 8 de GUERRERO",171
281,"Diputación del Distrito Federal 8 de JALISCO",216
282,"Diputación del Distrito Federal 8 de MICHOACÁN DE OCAMPO",230
283,"Diputación del Distrito Federal 8 de NUEVO LEÓN",255
284,"Diputación del Distrito Federal 8 de OAXACA",266
285,"Diputación del Distrito Federal 8 de PUEBLA",282
286,"Diputación del Distrito Federal 8 de TAMAULIPAS",342
287,"Diputación del Distrito Federal 8 de VERACRUZ DE IGNACIO DE LA LLAVE",363
288,"Diputación del Distrito Federal 9 de CHIAPAS",62
289,"Diputación del Distrito Federal 9 de CHIHUAHUA",31
290,"Diputación del Distrito Federal 9 de CIUDAD DE MÉXICO",103
291,"Diputación del Distrito Federal 9 de ESTADO DE MÉXICO",161
292,"Diputación del Distrito Federal 9 de GUANAJUATO",188
,"Diputación del Distrito Federal 9 de GUERRERO",0
294,"Diputación del Distrito Federal 9 de JALISCO",217
295,"Diputación del Distrito Federal 9 de MICHOACÁN DE OCAMPO",231
296,"Diputación del Distrito Federal 9 de NUEVO LEÓN",256
297,"Diputación del Distrito Federal 9 de OAXACA",267
298,"Diputación del Distrito Federal 9 de PUEBLA",283
,"Diputación del Distrito Federal 9 de TAMAULIPAS",0
300,"Diputación del Distrito Federal 9 de VERACRUZ DE IGNACIO DE LA LLAVE",364
,"Gubernatura de BAJA CALIFORNIA",7
,"Gubernatura de BAJA CALIFORNIA SUR",17
,"Gubernatura de CAMPECHE",35
,"Gubernatura de CHIHUAHUA",20
,"Gubernatura de COLIMA",32
,"Gubernatura de GUERRERO",162
,"Gubernatura de MICHOACÁN DE OCAMPO",218
,"Gubernatura de NAYARIT",238
,"Gubernatura de NUEVO LEÓN",243
,"Gubernatura de QUERÉTARO",289
,"Gubernatura de SAN LUIS POTOSÍ",305
,"Gubernatura de SINALOA",296
,"Gubernatura de SONORA",314
,"Gubernatura de TLAXCALA",330
,"Gubernatura de ZACATECAS",371
316,"Presidencia del municipio de ACAPULCO DE JUÁREZ",163
317,"Presidencia del municipio de AGUASCALIENTES",3
318,"Alcaldia de ÁLVARO OBREGÓN",64
319,"Presidencia del municipio de ATIZAPÁN DE ZARAGOZA",113
320,"Alcaldia de AZCAPOTZALCO",73
321,"Alcaldia de BENITO JUÁREZ",68
322,"Presidencia del municipio de CHIHUAHUA",21
323,"Presidencia del municipio de CHIMALHUACÁN",115
324,"Alcaldia de COYOACÁN",74
325,"Alcaldia de CUAJIMALPA DE MORELOS",75
326,"Alcaldia de CUAUHTÉMOC",69
327,"Presidencia del municipio de CUAUTITLÁN IZCALLI",114
328,"Presidencia del municipio de CULIACÁN",297
329,"Presidencia del municipio de ECATEPEC DE MORELOS",116
330,"Alcaldia de GUSTAVO A. MADERO",76
331,"Presidencia del municipio de HERMOSILLO",315
332,"Presidencia del municipio de IXTAPALUCA",117
333,"Alcaldia de IZTACALCO",77
334,"Alcaldia de IZTAPALAPA",78
335,"Presidencia del municipio de CIUDAD JUÁREZ",22
336,"Alcaldia de LA MAGDALENA CONTRERAS",79
337,"Alcaldia de MIGUEL HIDALGO",70
338,"Alcaldia de MILPA ALTA",71
339,"Presidencia del municipio de MONTERREY",244
340,"Presidencia del municipio de MORELIA",219
341,"Presidencia del municipio de NAUCALPAN",118
342,"Presidencia del municipio de NEZAHUALCÓYOTL",119
343,"Presidencia del municipio de QUERÉTARO",290
344,"Presidencia del municipio de SALTILLO",39
345,"Presidencia del municipio de SAN LUIS POTOSÍ",306
346,"Presidencia del municipio de TECÁMAC",120
347,"Presidencia del municipio de TEPIC",239
348,"Presidencia del municipio de TIJUANA",8
349,"Alcaldia de TLÁHUAC",65
350,"Presidencia del municipio de TLALNEPANTLA DE BAZ",110
351,"Alcaldia de TLALPAN",66
352,"Presidencia del municipio de TOLUCA",111
353,"Presidencia del municipio de TORREÓN",40
354,"Presidencia del municipio de TULTITLÁN",112
355,"Presidencia del municipio de TUXTLA GUTIÉRREZ",49
356,"Alcaldia de VENUSTIANO CARRANZA",72
357,"Alcaldia de XOCHIMILCO",67
358,"Presidencia del municipio de CAMPECHE",376
359,"Presidencia del municipio de CHETUMAL",377
360,"Presidencia del municipio de COLIMA",378
361,"Presidencia del municipio de GUADALAJARA",379
362,"Presidencia del municipio de GUANAJUATO",380
363,"Presidencia del municipio de LA PAZ",381
364,"Presidencia del municipio de MÉRIDA",382
365,"Presidencia del municipio de MEXICALI",383
366,"Presidencia del municipio de OAXACA",384
367,"Presidencia del municipio de PUEBLA",385
368,"Presidencia del municipio de TLAXCALA",386
,"Presidencia del municipio de XALAPA",0
370,"Presidencia del municipio de ZACATECAS",388
,"Presidencia del municipio de CUAUTLA",0
372,"Presidencia del municipio de CUERNAVACA",390
,"Presidencia del municipio de EMILIANO ZAPATA",0
,"Presidencia del municipio de JIUTEPEC",0
,"Presidencia del municipio de TEMIXCO",0
376,"Presidencia del municipio de ZAPOPAN",394
,"Presidencia del municipio de PUERTO VALLARTA",0
378,"Presidencia del municipio de TLAJOMULCO DE ZÚÑIGA",396
379,"Presidencia del municipio de SAN PEDRO TLAQUEPAQUE",397
380,"Presidencia del municipio de TONALÁ",398
381,"Presidencia del municipio de CAJEME",399
,"Presidencia del municipio de NOGALES",0
,"Presidencia del municipio de SAN LUIS RÍO COLORADO",0
,"Presidencia del municipio de NAVOJOA",0
,"Presidencia del municipio de GUAYMAS",0
,"Presidencia del municipio de CALPULALPAN",0
,"Presidencia del municipio de HUAMANTLA",0
,"Presidencia del municipio de SAN PABLO DEL MONTE",0
,"Presidencia del municipio de APIZACO",0
,"Presidencia del municipio de CHIAUTEMPAN",0
,"Presidencia del municipio de FRESNILLO",0
,"Presidencia del municipio de RÍO GRANDE",0
393,"Presidencia del municipio de ENSENADA",411
,"Presidencia del municipio de BOCOYNA",0
,"Presidencia del municipio de GUERRERO",0
,"Presidencia del municipio de MANZANILLO",0
397,"Presidencia del municipio de CELAYA",415
398,"Presidencia del municipio de IRAPUATO",416
399,"Presidencia del municipio de LEÓN",417
,"Presidencia del municipio de SALAMANCA",0
,"Presidencia del municipio de SANTIAGO MARAVATÍO",0
,"Presidencia del municipio de TLAQUEPAQUE",0
403,"Presidencia del municipio de URUAPAN",421
,"Presidencia del municipio de ZAMORA",0
,"Presidencia del municipio de SAN JUAN IHUALTEPEC",0
406,"Presidencia del municipio de BENITO JUÁREZ",424
,"Presidencia del municipio de YÉCORA",0
408,"Gubernatura de YUCATÁN",365
,"Presidencia del municipio de GENERAL ENRIQUE ESTRADA",0
,"Gubernatura de AGUASCALIENTES",2
411,"Gubernatura de CHIAPAS",48
,"Gubernatura de COAHUILA DE ZARAGOZA",38
413,"Gubernatura de CIUDAD DE MÉXICO",63
,"Gubernatura de DURANGO",104
,"Gubernatura de ESTADO DE MÉXICO",109
416,"Gubernatura de GUANAJUATO",173
,"Gubernatura de HIDALGO",189
418,"Gubernatura de JALISCO",197
419,"Gubernatura de MORELOS",232
,"Gubernatura de OAXACA",257
421,"Gubernatura de PUEBLA",268
,"Gubernatura de QUINTANA ROO",284
423,"Gubernatura de TABASCO",323
,"Gubernatura de TAMAULIPAS",334
425,"Gubernatura de VERACRUZ DE IGNACIO DE LA LLAVE",344
426,"Senaduría de AGUASCALIENTES",427
427,"Senaduría de BAJA CALIFORNIA",428
428,"Senaduría de BAJA CALIFORNIA SUR",429
429,"Senaduría de CAMPECHE",430
430,"Senaduría de CHIAPAS",431
431,"Senaduría de CHIHUAHUA",432
432,"Senaduría de COLIMA",433
433,"Senaduría de COAHUILA DE ZARAGOZA",434
434,"Senaduría de CIUDAD DE MÉXICO",435
435,"Senaduría de DURANGO",436
436,"Senaduría de ESTADO DE MÉXICO",437
437,"Senaduría de GUANAJUATO",438
438,"Senaduría de GUERRERO",439
439,"Senaduría de HIDALGO",440
440,"Senaduría de JALISCO",441
441,"Senaduría de MICHOACÁN DE OCAMPO",442
442,"Senaduría de MORELOS",443
443,"Senaduría de NAYARIT",444
444,"Senaduría de NUEVO LEÓN",445
445,"Senaduría de OAXACA",446
446,"Senaduría de PUEBLA",447
447,"Senaduría de QUERÉTARO",448
448,"Senaduría de QUINTANA ROO",449
449,"Senaduría de SAN LUIS POTOSÍ",450
450,"Senaduría de SINALOA",451
451,"Senaduría de SONORA",452
452,"Senaduría de TABASCO",453
453,"Senaduría de TLAXCALA",454
454,"Senaduría de TAMAULIPAS",455
455,"Senaduría de VERACRUZ DE IGNACIO DE LA LLAVE",456
456,"Senaduría de YUCATÁN",457
457,"Senaduría de ZACATECAS",458
,"Diputación del Distrito Local 1 AGUASCALIENTES",0
,"Diputación del Distrito Local 2 AGUASCALIENTES",0
,"Diputación del Distrito Local 3 AGUASCALIENTES",0
,"Diputación del Distrito Local 4 AGUASCALIENTES",0
,"Diputación del Distrito Local 5 AGUASCALIENTES",0
,"Diputación del Distrito Local 6 AGUASCALIENTES",0
,"Diputación del Distrito Local 7 AGUASCALIENTES",0
,"Diputación del Distrito Local 8 AGUASCALIENTES",0
,"Diputación del Distrito Local 9 AGUASCALIENTES",0
,"Diputación del Distrito Local 10 AGUASCALIENTES",0
,"Diputación del Distrito Local 11 AGUASCALIENTES",0
,"Diputación del Distrito Local 12 AGUASCALIENTES",0
,"Diputación del Distrito Local 13 AGUASCALIENTES",0
,"Diputación del Distrito Local 14 AGUASCALIENTES",0
,"Diputación del Distrito Local 15 AGUASCALIENTES",0
,"Diputación del Distrito Local 16 AGUASCALIENTES",0
,"Diputación del Distrito Local 17 AGUASCALIENTES",0
,"Diputación del Distrito Local 18 AGUASCALIENTES",0
,"Diputación del Distrito Local 1 BAJA CALIFORNIA",0
,"Diputación del Distrito Local 2 BAJA CALIFORNIA",0
,"Diputación del Distrito Local 3 BAJA CALIFORNIA",0
,"Diputación del Distrito Local 4 BAJA CALIFORNIA",0
